first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Tommy,La Stella,2B,,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,3100,0,4.2,8,4.5,1.45,,
Jonathan,Arauz,2B,,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,2000,0,0,0,4.4,2.2,,
Kevin,Pillar,OF,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,3200,0,3.6,11,4.2,1.31,,
Nick,Ahmed,SS,,8/27/21,Turbo,ARI,PHI,8,,1.5,8.5,3.3,3100,0,3.6,13,4,1.29,,
Patrick,Mazeika,C,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,2800,0,0.4,2,2.5,0.89,,
Chance,Sisco,C,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,2000,0,2.6,10,2.1,1.05,,
Kevin,Smith,3B,,8/27/21,Turbo,TOR,DET,8,,-1.5,9.5,5.3,2000,0,1,3,1.5,0.75,,
Brandon,Drury,3B,,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,2000,0,0,0,1,0.5,,
Luis,Basabe,OF,O,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,2000,,,,0,0,,
Blake,Swihart,C,O,8/27/21,Turbo,WAS,NYM,,,1.5,9,3.8,2000,,,,0,0,,
Joe,Panik,2B,O,8/27/21,Turbo,MIA,CIN,-1,,1.5,8,3.7,3300,0,4.4,13,0,0,,
Hunter,Renfroe,OF,O,8/27/21,Turbo,BOS,CLE,,,-1.5,10,5.8,4500,2,8.4,20,0,0,,
Christian,Bethancourt,C,O,8/27/21,Turbo,PIT,STL,,,1.5,8.5,3.7,2000,,,,0,0,,
Adam,Hall,SS,O,8/27/21,Turbo,BAL,TB,-1,,1.5,10,4,2000,,,,0,0,,
Brandon,Belt,1B,O,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,4400,0,7,22,0,0,,
Seth,Beer,OF,O,8/27/21,Turbo,ARI,PHI,-1,,1.5,8.5,3.3,2000,,,,0,0,,
Scott,Kingery,2B,O,8/27/21,Turbo,PHI,ARI,-1,,-1.5,8.5,5.2,2000,0,0.4,2,0,0,,
Donovan,Solano,2B,O,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,2500,0,2.4,9,0,0,,
Will,Craig,1B,O,8/27/21,Turbo,PIT,STL,-1,,1.5,8.5,3.7,3000,0,3,8,0,0,,
Robinson,Cano,2B,O,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,2000,0,5.6,10,0,0,,
Starlin,Castro,3B,O,8/27/21,Turbo,WAS,NYM,-1,,1.5,9,3.8,3900,3,11.8,19,0,0,,
Chris,Davis,1B,O,8/27/21,Turbo,BAL,TB,-1,,1.5,10,4,2000,0,0,0,0,0,,
Rene,Rivera,C,O,8/27/21,Turbo,WAS,NYM,-1,,1.5,9,3.8,3300,0,4.2,9,0,0,,
Mark,Vientos,3B,O,8/27/21,Turbo,NYM,WAS,,,-1.5,9,5.2,2000,,,,0,0,,
Heliot,Ramos,OF,O,8/27/21,Turbo,SF,ATL,,,1.5,8.5,4.1,2000,,,,0,0,,
Garrett,Whitley,OF,O,8/27/21,Turbo,TB,BAL,-1,,-1.5,10,6,2000,,,,0,0,,
Luken,Baker,1B,O,8/27/21,Turbo,STL,PIT,-1,,-1.5,8.5,4.8,2000,,,,0,0,,
