first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Anthony,Rizzo,1B,,2021-04-24,Early,CHC,MIL,3,,-1.5,7.5,3.8,4300,0.0,10.4,19.0,7.0,1.63
Marwin,Gonzalez,1B,,2021-04-24,Early,BOS,SEA,6,,-1.5,9,5.2,3400,0.0,8.2,18.0,7.0,2.06
David,Fletcher,2B,,2021-04-24,Early,LAA,HOU,1,,+1.5,9,4.2,3200,2.0,6.4,15.0,7.0,2.19
Willians,Astudillo,1B,,2021-04-24,Early,MIN,PIT,7,,-1.5,8,4.7,3700,0.0,2.4,7.0,6.9,1.86
Bryan,Reynolds,OF,,2021-04-24,Early,PIT,MIN,3,,+1.5,8,3.3,4500,0.0,10.0,25.0,6.9,1.53
Kyle,Schwarber,OF,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,4100,0.0,1.0,3.0,6.9,1.68
Jake,Cave,OF,,2021-04-24,Early,MIN,PIT,8,,-1.5,8,4.7,2000,0.0,1.8,7.0,6.9,3.45
Andrew,Stevenson,OF,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,2700,0.0,3.4,8.0,6.9,2.56
Yuli,Gurriel,1B,,2021-04-24,Early,HOU,LAA,5,,-1.5,9,4.8,4900,0.0,6.2,12.0,6.8,1.39
Jason,Heyward,OF,,2021-04-24,Early,CHC,MIL,6,,-1.5,7.5,3.8,3200,0.0,8.2,23.0,6.8,2.13
Jose,Marmolejos,1B,,2021-04-24,Early,SEA,BOS,4,,+1.5,9,3.8,3300,0.0,3.2,9.0,6.8,2.06
Willson,Contreras,C,,2021-04-24,Early,CHC,MIL,2,,-1.5,7.5,3.8,4500,3.0,8.4,15.0,6.7,1.49
Omar,Narvaez,C,,2021-04-24,Early,MIL,CHC,2,,+1.5,7.5,3.7,3900,0.0,8.8,14.0,6.7,1.72
Taylor,Trammell,OF,,2021-04-24,Early,SEA,BOS,6,,+1.5,9,3.8,3400,0.0,5.0,17.0,6.6,1.94
J.D.,Davis,3B,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,3600,4.0,8.8,13.0,6.6,1.83
Jose,Iglesias,SS,,2021-04-24,Early,LAA,HOU,7,,+1.5,9,4.2,3200,3.0,6.6,13.0,6.6,2.06
Myles,Straw,OF,,2021-04-24,Early,HOU,LAA,8,,-1.5,9,4.8,2600,0.0,7.4,22.0,6.5,2.50
Jonathan,Schoop,1B,,2021-04-24,Early,DET,KC,6,,+1.5,7.5,3.7,3800,0.0,2.6,7.0,6.4,1.68
Tyler,O'Neill,OF,DTD,2021-04-24,Early,STL,CIN,6,,-1.5,8.5,4.3,2600,0.0,1.0,5.0,6.4,2.46
Victor,Reyes,OF,,2021-04-24,Early,DET,KC,8,,+1.5,7.5,3.7,2900,0.0,1.6,3.0,6.4,2.21
Ryan,Jeffers,C,,2021-04-24,Early,MIN,PIT,9,,-1.5,8,4.7,3300,0.0,3.6,8.0,6.4,1.94
James,McCann,C,,2021-04-24,Early,NYM,WAS,,,-1.5,7.5,4.3,3700,0.0,2.6,5.0,6.4,1.73
Tyler,Naquin,OF,,2021-04-24,Early,CIN,STL,5,,+1.5,8.5,4.2,4700,2.0,6.0,10.0,6.3,1.34
J.P.,Crawford,SS,,2021-04-24,Early,SEA,BOS,9,,+1.5,9,3.8,3400,0.0,4.6,9.0,6.3,1.85
Tucker,Barnhart,C,,2021-04-24,Early,CIN,STL,7,,+1.5,8.5,4.2,3800,4.0,6.6,10.0,6.2,1.63
Kevin,Plawecki,C,,2021-04-24,Early,BOS,SEA,9,,-1.5,9,5.2,3400,0.0,3.2,10.0,6.2,1.82
Sam,Haggerty,3B,,2021-04-24,Early,SEA,BOS,8,,+1.5,9,3.8,2500,0.0,5.2,19.0,6.1,2.44
Akil,Baddoo,OF,,2021-04-24,Early,DET,KC,2,,+1.5,7.5,3.7,4900,0.0,7.0,21.0,6.1,1.24
Phillip,Evans,3B,,2021-04-24,Early,PIT,MIN,2,,+1.5,8,3.3,4100,0.0,2.2,7.0,6.1,1.49
Josh,Harrison,2B,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,3700,0.0,4.2,12.0,6.1,1.65
Starlin,Castro,3B,,2021-04-24,Early,WAS,NYM,,,+1.5,7.5,3.2,3800,0.0,4.2,8.0,6.1,1.61
Harold,Castro,1B,,2021-04-24,Early,DET,KC,7,,+1.5,7.5,3.7,2800,2.0,5.0,13.0,6.1,2.18
Travis,Shaw,3B,,2021-04-24,Early,MIL,CHC,4,,+1.5,7.5,3.7,4300,0.0,6.2,14.0,6.1,1.42
Kurt,Suzuki,C,DTD,2021-04-24,Early,LAA,HOU,8,,+1.5,9,4.2,3000,0.0,4.2,10.0,6.1,2.03
Eugenio,Suarez,SS,,2021-04-24,Early,CIN,STL,4,,+1.5,8.5,4.2,5400,0.0,3.6,9.0,6.0,1.11
