first_name,last_name,position,injury_status,game_date,slate,team,opp,confirmed_order,starting_pitcher,spread,over_under,implied_team_score,salary,L5_ppg_floor,L5_ppg_avg,L5_ppg_max,ppg_projection,value_projection,ppg_actual,value_actual
Caleb,Joseph,C,DTD,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2500,2.0,4.3,9.0,2.1,0.84
Tyler,Heineman,C,,2021-08-22,Afternoon,PHI,SD,,,+1.5,9,4,2000,0.0,2.0,5.0,1.9,0.95
Mason,Williams,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,3.0,13.0,1.9,0.95
Albert,Almora Jr.,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,3.6,16.0,1.9,0.95
Josh,Reddick,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,1.8,9.0,1.7,0.85
Wilfredo,Tovar,2B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,1.4,5.0,1.6,0.80
Brandon,Drury,3B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,0.6,3.0,1.2,0.60
Mark,Payton,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,0.6,3.0,1.2,0.60
Carlos,Perez,C,DTD,2021-08-22,Afternoon,OAK,SF,,,+1.5,8,4.1,2000,,,,0.9,0.45
Ronny,Mauricio,SS,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,,,,0.9,0.45
Khalil,Lee,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,0.0,0.0,0.9,0.45
Drew,Ferguson,OF,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,,,,0.9,0.45
Travis,Blankenhorn,2B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,0.0,0.0,0.9,0.45
Nick,Tanielu,3B,,2021-08-22,Afternoon,SD,PHI,,,-1.5,9,5,2000,,,,0.9,0.45
Buddy,Reed,OF,,2021-08-22,Afternoon,OAK,SF,,,+1.5,8,4.1,2000,,,,0.9,0.45
David,Rodriguez,C,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,,,,0.9,0.45
Cheslor,Cuthbert,1B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,0.0,0.0,0.9,0.45
Wynston,Sawyer,C,,2021-08-22,Afternoon,SD,PHI,,,-1.5,9,5,2000,,,,0.9,0.45
Francisco,Alvarez,C,DTD,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,,,,0.9,0.45
Tim,Federowicz,C,,2021-08-22,Afternoon,LAD,NYM,,,-1.5,8.5,4.8,2000,,,,0.9,0.45
Jose,Martinez,1B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,0.0,0.0,0.9,0.45
Francisco,Pena,C,,2021-08-22,Afternoon,OAK,SF,,,+1.5,8,4.1,2000,,,,0.9,0.45
Pedro,Florimon,SS,,2021-08-22,Afternoon,SD,PHI,,,-1.5,9,5,2000,,,,0.9,0.45
Brett,Baty,3B,,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,,,,0.9,0.45
Pete,Kozma,2B,O,2021-08-22,Afternoon,OAK,SF,,,+1.5,8,4.1,2000,,,,0.0,0.00
Adam,Haseley,OF,O,2021-08-22,Afternoon,PHI,SD,-1,,+1.5,9,4,2000,0.0,3.0,15.0,0.0,0.00
Scott,Kingery,2B,O,2021-08-22,Afternoon,PHI,SD,-1,,+1.5,9,4,2000,0.0,0.4,2.0,0.0,0.00
Luis,Basabe,OF,O,2021-08-22,Afternoon,SF,OAK,-1,,-1.5,8,4,2000,,,,0.0,0.00
Cody,Thomas,OF,O,2021-08-22,Afternoon,OAK,SF,,,+1.5,8,4.1,2000,,,,0.0,0.00
Mark,Vientos,3B,O,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,,,,0.0,0.00
Robinson,Cano,2B,O,2021-08-22,Afternoon,NYM,LAD,,,+1.5,8.5,3.7,2000,0.0,5.6,10.0,0.0,0.00
Heliot,Ramos,OF,O,2021-08-22,Afternoon,SF,OAK,-1,,-1.5,8,4,2000,,,,0.0,0.00
Ramon,Laureano,OF,O,2021-08-22,Afternoon,OAK,SF,-1,,+1.5,8,4.1,3400,0.0,10.0,21.0,0.0,0.00
